year,month,value
1850,1,284.944656165892
1850,2,285.33379177202005
1850,3,285.68282529314996
1850,4,285.93117886177896
1850,5,285.88592837839
1850,6,285.166409774479
1850,7,283.535435169395
1850,8,281.936464955225
1850,9,281.901050552666
1850,10,282.941449012576
1850,11,283.950587411799
1850,12,284.594220910059
1851,1,285.062186270545
1851,2,285.454612618704
1851,3,285.807019565383
1851,4,286.058745574905
1851,5,286.016688690945
1851,6,285.300121015748
1851,7,283.671992646514
1851,8,282.075738690955
1851,9,282.04268870732
1851,10,283.085164171303
1851,11,284.096026614885
1851,12,284.741013624775
1852,1,285.210038282149
1852,2,285.603128119977
1852,3,285.955887820865
1852,4,286.207688563156
1852,5,286.16535777820303
1852,6,285.448222045858
1852,7,283.819505446809
1852,8,282.222685845347
1852,9,282.18886406276
1852,10,283.230444390441
1852,11,284.240228597374
1852,12,284.88394713310004
1853,1,285.351546282978
1853,2,285.74308894638597
1853,3,286.094221167157
1853,4,286.344357969177
1853,5,286.300277143615
1853,6,285.581368806736
1853,7,283.95111908205797
1853,8,282.35304271088404
1853,9,282.317998665078
1853,10,283.358427178718
1853,11,284.367036963703
1853,12,285.009513026331
1854,1,285.47578088337
1854,2,285.865921861758
1854,3,286.215568344039
1854,4,286.464135248693
1854,5,286.418319427959
1854,6,285.69752791862703
1854,7,284.06543551480803
1854,8,282.465574015363
1854,9,282.428634332472
1854,10,283.467137460205
1854,11,284.47376132930697
1854,12,285.114201334789
1855,1,285.57840488204
1855,2,285.966540052717
1855,3,286.31426703643103
1855,4,286.56104968567297
1855,5,286.51356701117
1855,6,285.79128904863
1855,7,284.158095446921
1855,8,282.557566370117
1855,9,282.52024864908697
1855,10,283.558718333307
1855,11,284.565616266236
1855,12,285.20663476548697
1856,1,285.67179311222696
1856,2,286.061178714628
1856,3,286.410530037697
1856,4,286.659344067784
1856,5,286.61425703625497
1856,6,285.894788102253
1856,7,284.265027312646
1856,8,282.668577522689
1856,9,282.635726700548
1856,10,283.678996156165
1856,11,284.690867229516
1856,12,285.336911398611
1857,1,285.80718375293
1857,2,286.201409102248
1857,3,286.555370643819
1857,4,286.80849045988
1857,5,286.767220928145
1857,6,286.051029251646
1857,7,284.424184979168
1857,8,282.8302422032
1857,9,282.799259569157
1857,10,283.843898911574
1857,11,284.856631848095
1857,12,285.50307562422
1858,1,285.973428533867
1858,2,286.367387972085
1858,3,286.720890208468
1858,4,286.97346051501097
1858,5,286.931538480641
1858,6,286.214718926672
1858,7,284.587645410516
1858,8,282.993973834516
1858,9,282.963487893952
1858,10,284.008894810922
1858,11,285.022551404762
1858,12,285.670019192476
1859,1,286.14154524939096
1859,2,286.53669164753103
1859,3,286.89145396059297
1859,4,287.145362911525
1859,5,287.10473982977004
1859,6,286.389211044685
1859,7,284.76371443857397
1859,8,283.171919897762
1859,9,283.14329723347197
1859,10,284.190614723639
1859,11,285.206119533092
1859,12,285.855326532121
1860,1,286.328561520526
1860,2,286.725225159994
1860,3,287.081403293532
1860,4,287.336646182979
1860,5,287.297158334022
1860,6,286.582614336925
1860,7,284.958290031711
1860,8,283.367882839573
1860,9,283.340511131318
1860,10,284.388992043185
1860,11,285.405433053931
1860,12,286.055278799547
1861,1,286.52887904911
1861,2,286.925532277788
1861,3,287.28136000827004
1861,4,287.53591228604597
1861,5,287.495257037809
1861,6,286.779097359488
1861,7,285.153027292534
1861,8,283.560754611264
1861,9,283.53109362715696
1861,10,284.577025618111
1861,11,285.59063691597
1861,12,286.23742046159
1862,1,286.707808670214
1862,2,287.101245033834
1862,3,287.453944050266
1862,4,287.705570091571
1862,5,287.66218802666697
1862,6,286.94364000267797
1862,7,285.315908488923
1862,8,283.722820741354
1862,9,283.69292003243
1862,10,284.73917790064
1862,11,285.753503001269
1862,12,286.40127038442
1863,1,286.872884535807
1863,2,287.267624490116
1863,3,287.62168710090197
1863,4,287.874679714693
1863,5,287.832489978939
1863,6,287.114928332058
1863,7,285.488200885522
1863,8,283.896086081447
1863,9,283.866800669245
1863,10,284.913425586246
1863,11,285.92781962841
1863,12,286.575369204313
1864,1,287.043461105101
1864,2,287.43804648486696
1864,3,287.79224300677504
1864,4,288.04552333796903
1864,5,288.004506884842
1864,6,287.288686908825
1864,7,285.662111637828
1864,8,284.068371360169
1864,9,284.037815663627
1864,10,285.083001248303
1864,11,286.096451636901
1864,12,286.74377667321096
1865,1,287.217245276198
1865,2,287.611935446024
1865,3,287.965893888655
1865,4,288.218722777834
1865,5,288.176370742132
1865,6,287.458629113214
1865,7,285.831544355377
1865,8,284.238885515466
1865,9,284.209034689962
1865,10,285.255045051793
1865,11,286.268842401815
1865,12,286.915846460209
1866,1,287.386082058588
1866,2,287.77985249735804
1866,3,288.132968963223
1866,4,288.385080402615
1866,5,288.342208381653
1866,6,287.624185493597
1866,7,285.99704387761903
1866,8,284.40459773794
1866,9,284.37532128231703
1866,10,285.422196150092
1866,11,286.437093520896
1866,12,287.085365167487
1867,1,287.555566913774
1867,2,287.950912743459
1867,3,288.30571067334097
1867,4,288.559435943218
1867,5,288.51840102907903
1867,6,287.802166955532
1867,7,286.175507238437
1867,8,284.58203380795396
1867,9,284.551295911725
1867,10,285.596035993629
1867,11,286.608550044732
1867,12,287.25437801821397
1868,1,287.724558661894
1868,2,288.116980955691
1868,3,288.46845630351896
1868,4,288.718584177726
1868,5,288.67343663569
1868,6,287.95277574092
1868,7,286.322350731317
1868,8,284.725920190544
1868,9,284.692190059761
1868,10,285.734151011223
1868,11,286.743845381136
1868,12,287.386745227445
1869,1,287.85285638807005
1869,2,288.24253008930697
1869,3,288.591548057178
1869,4,288.83954786695097
1869,5,288.79266083364496
1869,6,288.070682667874
1869,7,286.439351313338
1869,8,284.8424621559
1869,9,284.808806467376
1869,10,285.851323572455
1869,11,286.861996898243
1869,12,287.50622851822396
1870,1,287.974208201822
1870,2,288.365644985782
1870,3,288.71650890782297
1870,4,288.966374622833
1870,5,288.921246547234
1870,6,288.200870946971
1870,7,286.571072238682
1870,8,284.975586821614
1870,9,284.942981584181
1870,10,285.986249163152
1870,11,286.997390807916
1870,12,287.641859823568
1871,1,288.110436022163
1871,2,288.501801591248
1871,3,288.852533519647
1871,4,289.102323563704
1871,5,289.05707245453704
1871,6,288.336690063784
1871,7,286.70763346457
1871,8,285.113769732899
1871,9,285.083193675595
1871,10,286.129020297896
1871,11,287.14301474977697
1871,12,287.79050520967
1872,1,288.266797376515
1872,2,288.660727813754
1872,3,289.013522169507
1872,4,289.26516074756
1872,5,289.220185871362
1872,6,288.499142857588
1872,7,286.872623103069
1872,8,285.284883495981
1872,9,285.259948274772
1872,10,286.311838347133
1872,11,287.330976331451
1872,12,287.982187498681
1873,1,288.460037760388
1873,2,288.85542944250705
1873,3,289.208958118399
1873,4,289.46085507645097
1873,5,289.414702478135
1873,6,288.69155172811
1873,7,287.065073335771
1873,8,285.479849642482
1873,9,285.45694975761904
1873,10,286.511108079959
1873,11,287.53183092426
1873,12,288.183647254549
1874,1,288.656471916777
1874,2,289.05178532424
1874,3,289.405516190632
1874,4,289.65787481547
1874,5,289.612857087175
1874,6,288.891401857497
1874,7,287.266143545397
1874,8,285.681616774426
1874,9,285.660019729305
1874,10,286.71584619528
1874,11,287.73885681035597
1874,12,288.393603450647
1875,1,288.870551603777
1875,2,289.269526709748
1875,3,289.626989900709
1875,4,289.883006453368
1875,5,289.84159943171903
1875,6,289.123526394616
1875,7,287.50087464444
1875,8,285.918023194133
1875,9,285.897481593912
1875,10,286.95359950683104
1875,11,287.97635770778
1875,12,288.63045624372
1876,1,289.108053378383
1876,2,289.505587510005
1876,3,289.861236149194
1876,4,290.11523538020305
1876,5,290.071423868071
1876,6,289.35080479622
1876,7,287.726465709593
1876,8,286.142978268916
1876,9,286.122082255244
1876,10,287.178390180674
1876,11,288.201567933648
1876,12,288.856167791889
1877,1,289.343186985658
1877,2,289.740044813339
1877,3,290.093989980844
1877,4,290.345876739701
1877,5,290.29703542096803
1877,6,289.569745909228
1877,7,287.945014553504
1877,8,286.368223417938
1877,9,286.35345244901004
1877,10,287.417053043095
1877,11,288.446124458049
1877,12,289.104245310476
1878,1,289.590833060467
1878,2,289.987545801578
1878,3,290.340257132889
